year,type,gasoline,gasohol,diesel,tires,innerTubes,treadRubber,trucksBusesTrailers,use,lubricatingOil,partsAccessories,misc,expenditures,netTransfers,closingBalance
1957,0,1295070,0,30475,82182,0,11274,34409,25499,0,0,3094,965667,0,516335
1958,0,1548106,0,49783,256306,17374,10814,110506,33227,0,0,17686,1511603,0,1048534
1959,0,1605691,0,50955,247254,14874,14102,107386,33852,0,0,13584,2612576,0,523657
1960,0,1962135,0,81628,281100,18830,15676,141944,37712,0,0,-3212,2940251,0,119221
1961,0,2275755,0,84905,245984,14714,13814,115598,46768,0,0,1474,2619170,0,299063
1962,0,2267642,0,105776,327006,17547,22901,127974,79844,0,0,6772,2783864,0,470661
1963,0,2347525,0,114441,365966,18891,24056,311120,97318,0,0,14268,3016701,0,746926
1964,0,2514700,0,128105,369520,21796,21930,357345,105761,0,0,20361,3645013,0,641431
1965,0,2592798,0,143675,381540,23753,24161,393304,99279,0,0,11035,4026117,0,284858
1966,0,2682672,0,163566,442154,30176,24284,441969,101983,23000,7000,7305,3965431,0,243535
1967,0,2934312,0,190006,481951,33282,28043,524549,111534,68030,69155,14225,9373426,0,725196
1968,0,2902875,0,208173,468283,18604,25362,509958,98495,81714,80520,33503,4171110,0,981572
1969,0,2961908,0,218906,551425,28285,30108,540846,129320,82842,93537,52654,4150575,0,1520827
1970,0,3429363,0,263165,588479,26126,28032,699927,136806,94521,87209,115410,4378253,0,2611611
1971,0,3640149,0,294208,576446,22909,30392,692459,148030,51790,85173,183877,4685348,0,3651696
1972,0,3601356,0,291858,631746,23820,26817,436490,150507,73135,86693,205630,4690217,0,4489531
1973,0,3821528,0,337139,720771,28803,31483,380395,161583,80025,103728,246740,4811036,0,5590688
1974,0,3906613,0,394682,837716,33383,24131,614132,225193,94004,130455,414667,4599013,0,7666652
1975,0,3937822,0,402339,744306,32814,20356,601623,221459,84287,143167,585654,4843089,0,9597390
1976,0,3872095,0,346509,545922,24966,23352,219229,209271,55965,115841,586714,6520603,0,9076650
1977,0,4253584,0,453814,757995,30059,24916,708127,239700,76321,164714,593068,6147175,0,10163646
1978,0,4237756,0,484611,761476,31454,25424,850519,245546,80181,187469,662160,6057737,0,11672503
1979,0,4337090,0,497260,808760,37733,20457,943579,235333,83872,224730,857286,7154141,0,12564460
1980,0,3897059,0,522553,633298,26238,21094,912200,277419,76901,253062,1027484,9212311,0,10999460
1981,0,3889052,0,560972,599418,25966,19094,664228,236654,75832,233711,1128819,9173762,0,9259443
1982,0,4120014,0,594083,625896,22552,23402,724563,332813,76181,224176,1078502,8035206,0,9046417
1983,  Highways,5612640,27573,889973,577311,19559,19001,338403,235883,8847,47826,1075821,8837637,0,9061618
1983,  Transit,448201,3427,68016,0,0,0,0,0,0,0,2547,3131,0,519059
1984,  Highways,7561659,137282,1470064,319747,8052,3801,864824,179665,-10155,-28359,1026535,10384239,0,10210493
1984,  Transit,1058698,17183,160164,0,0,0,0,0,0,0,89141,233196,0,1611049
1985,  Highways,7463817,123805,2224847,223651,-861,-781,1395706,378592,-9747,965,1106451,12756149,0,10360790
1985,  Transit,998266,47117,168357,0,0,0,0,0,0,0,206226,506998,0,2524016
1986,  Highways,7655589,145523,2452925,319545,686,-238,1144460,532791,-622,757,1054143,14180359,0,9485989
1986,  Transit,852855,71727,188072,0,0,0,0,0,0,0,282769,632563,0,3286877
1987,  Highways,7407188,129786,2621398,291669,-2,-84,723731,620197,47,-431,933909,12801838,0,9411559
1987,  Transit,988133,67830,182895,0,0,0,0,0,0,0,343855,667534,0,4202056
1988,  Highways,7933879,155997,2557282,334074,0,0,1277156,581293,0,-3254,808984,14037862,0,9019108
1988,  Transit,1016860,77999,182571,0,0,0,0,0,0,0,383750,695675,0,5167560
1989,  Highways,7996280,153080,4045920,316044,0,0,1239536,608314,0,-716,775913,13602480,0,10550999
1989,  Transit,977213,72407,219800,0,0,0,0,0,0,0,468869,848508,0,6057342
1990,  Highways,7471796,153539,2896262,254793,0,0,1112260,583716,0,-288,981071,14375194,0,9628954
1990,  Transit,1042273,71781,281195,0,0,0,0,0,0,0,581321,878953,0,7154959
1991,  Highways,9140468,231415,3141894,357070,0,0,1047422,574926,0,515,809773,14686495,0,10245943
1991,  Transit,1882164,146759,456053,0,0,0,0,0,0,0,664302,1054115,0,9250122
1992,  Highways,10245605,395496,3271861,256683,0,0,874162,620008,0,-28,908446,15517751,0,11300224
1992,  Transit,972204,50674,46947,0,0,0,0,0,0,0,746058,1267845,0,9798159
1993,  Highways,10385123,416409,3110618,304482,0,0,1199291,630401,0,0,817493,16640749,0,11523292
1993,  Transit,1537330,131634,323222,0,0,0,0,0,0,0,742502,1915662,0,10617185
1994,  Highways,10001736,616425,3281271,327398,0,0,1405218,618423,0,0,754393,19010855,0,9517301
1994,  Transit,1441669,234423,331647,0,0,0,0,0,0,0,683617,3363652,0,9944890
1995,  Highways,10735259,491554,4516005,395443,0,0,2008840,681792,0,0,547726,19472496,0,9421424
1995,  Transit,1637464,188279,366319,0,0,0,0,0,0,0,620577,3178768,0,9578760
1996,  Highways,13142896,776710,4963166,532352,0,0,1878863,739878,0,0,657874,19995345,0,12117818
1996,  Transit,1979199,120001,517827,0,0,0,0,0,0,0,664782,3335988,0,9524582
1997,  Highways,12483138,575397,4714934,299745,0,0,1674348,761760,0,0,804750,20856750,0,12576718
1997,  Transit,2420368,286822,650488,0,0,0,0,0,0,0,638063,3662697,0,9857627
1998,  Highways,14101244,747872,4989057,399305,0,0,2040532,862924,0,0,1165698,20347235,0,16535084
1998,  Transit,2533832,315555,637445,0,0,0,0,0,0,0,839202,4132993,0,10050668
1999,  Highways,20806326,1255917,7719517,416034,0,0,2809900,813698,0,0,1821,23134686,0,19206256
1999,  Transit,3892032,513536,1072335,0,0,0,0,0,0,0,18,5775469,0,9753121
2000,  Highways,17579258,1092980,6990980,442134,0,0,3320857,921289,0,0,-94,26999828,0,22553544
2000,  Transit,3223234,515834,886336,0,0,0,0,0,0,0,-3,5831078,0,8547444
2001,  Highways,16462311,1477985,6534437,342723,0,0,1488705,609611,0,0,744,29098372,0,20371688
2001,  Transit,3082725,559123,911224,0,0,0,0,0,0,0,38,5731827,0,7368727
2002,  Highways,17014146,1621499,6747216,351326,0,0,1265718,981695,0,0,1337,32218582,0,16136043
2002,  Transit,3151261,581723,888008,0,0,0,0,0,0,0,0,5893122,0,6096597
2003,  Highways,16963589,1994951,6950010,403039,0,0,1709668,940434,0,0,2681,32109031,0,12991384
2003,  Transit,3143016,705956,913196,0,0,0,0,0,0,0,109,6035425,0,4823449
2004,  Highways,14776773,4485353,7285859,445841,0,0,1846613,944563,0,0,0,31971266,-1,10805119
2004,  Transit,2754567,1180158,991020,0,0,0,0,0,0,0,25,5972245,0,3776974
2005,  Highways,20511632,0,7832149,467079,0,0,2992692,1089886,0,0,15125,33121424,0,10592258
2005,  Transit,3934658,0,1049427,0,0,0,0,0,0,0,0,6809735,-1085,1950239
2006,  Highways,20071945,0,8089815,488210,0,0,3618945,1403550,0,0,29139,33912089,-1367756,9014017
2006,  Transit,3759352,0,1098244,0,0,0,0,0,0,0,0,1952116,1367756,6223475
2007,  Highways,20641625,0,8347277,460957,0,0,3809479,1010866,0,0,18706,34979234,-213261,8110432
2007,  Transit,3944997,0,1165726,0,0,0,0,0,0,0,0,4205688,177276,7305786
2008,  Highways,20557336,0,7895817,386627,0,0,1445621,1038312,0,0,20617,37011932,7589400,10032230
2008,  Transit,3899704,0,1143127,0,0,0,0,0,0,0,0,5989594,427599,6786622
2009,  Highways,19958795,0,7009779,314276,0,0,1890021,962528,0,0,26737,37571317,6258289,8881338
2009,  Transit,3788790,0,1020468,0,0,0,0,0,0,0,0,7280702,897054,5212232
2010,  Highways,20312909,0,7069770,318251,0,0,1562325,886623,0,0,30322,32006716,13688447,20743269
2010,  Transit,3820612,0,990630,0,0,0,0,0,0,0,5169,7362975,5823670,8489338
2011,  Highways,20644612,0,8094336,440764,0,0,2416742,364228,0,0,38053,37324658,-1094807,14322539
2011,  Transit,3843980,0,1078378,0,0,0,0,0,0,0,4774,7207213,1106018,7315275
2012,  Highways,21138400,0,8010157,420131,0,0,3855111,1719067,0,0,98260,41149827,1316907,9730745
2012,  Transit,3937417,0,1066031,0,0,0,0,0,0,0,2451,8209981,1083091,5194284
2013,  Highways,19389184,0,7763753,359315,0,0,3197407,1090601,0,0,15455,42917222,5141823,3771061
2013,  Transit,3613614,0,1034832,0,0,0,0,0,0,0,1813,8098183,745715,2492075
2014,  Highways,20685613,0,8343520,446604,0,0,3645185,945182,0,0,21202,43791139,17308349,11375577
2014,  Transit,3854396,0,1196037,0,0,0,0,0,0,0,1069,9136279,5149451,3470837
2015,  Highways,21009013,0,8526186,500968,0,0,4554325,1149768,0,0,25581,42951543,4850484,9040358
2015,  Transit,3914741,0,1133786,0,0,0,0,0,0,0,495,8867985,3217516,2869391