Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,1052224,1244753,1564938,1493837,1488171,1671401,1795944,1474130,1321156,1139217,1160447,1475649
2006,1136538,1253271,1519952,1439311,1478735,1487688,1480504,1478072,1342543,1205973,1188344,1419758
2007,1079891,1244375,1528582,1326837,1550609,1433282,1302661,1467601,1305275,1221485,1170035,1377542
2008,1036540,1162277,1339158,1237336,1383754,1176765,1126477,1240785,959127,829396,737978,884306
2009,650608,681676,847002,822746,919295,850654,991950,1254982,740394,832953,741826,1013629
2010,693531,774108,1059134,976345,1096910,978154,1045915,993211,953837,940740,863198,1135333
2011,815408,987265,1238252,1149240,1052417,1044037,1055231,1067895,1048158,1015016,986664,1236129
2012,909806,2115420,1398128,1177478,1327521,1276629,1141761,1274193,1183825,1085804,1137862,1347837
2013,1037967,1185746,1444773,1276318,1434096,1396038,1306885,1494273,1128124,1198989,1236413,1350623
2014,1006049,1186038,1529348,1381300,1598730,1412565,1427029,1575971,1239405,1275657,1291817,1500108
2015,1149107,1254709,1540724,1449812,1629328,1471074,1507307,1568896,1435728,1449359,1313000,1635926
2016,1147705,1340801,1590701,1501379,1520463,1508662,1517151,1508095,1428354,1368064,1375086,1694258
2017,1140841,1331716,1553142,1424793,1517197,1472495,1415051,1480526,1523050,1353586,1397105,1603063
2018,1156581,1305932,1657716,1364619,1576158,1549950,1373655,1500121,1440820,1393137,1399187,1605973
2019,1172653,1257589,1552126,1355548,1606260,1462664,1417418,1628577,1282712,1384010,1445173,1459164
2020,1157415,1434716,912800,563122,1181756,1214706,1336267,1298489,1370243,723527,644954,0